AD_LEVEL,TA_ID,TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
4,431403,Ban Fang,4314,Sakhrai,43,Nong Khai,17.651,102.665
4,502205,Don Pao,5022,Mae Wang,50,Chiang Mai,18.679,98.783
4,270309,Khot Lan,2703,Ta Phraya,27,Sa kaeo,13.968,102.650
4,960706,Si Banphot,9607,Si Sakhon,96,Narathiwat,6.152,101.574
4,330401,Bueng Malu,3304,Kantharalak,33,Si Sa Ket,14.535,104.714
4,630608,Mahawan,6306,Mae Sot,63,Tak,16.565,98.676
4,620902,Hin Dat,6209,Pang Sila Thong,62,Kamphaeng Phet,16.052,99.426
4,490103,Ban Khok,4901,Mueang Mukdahan,49,Mukdahan,16.640,104.565
4,520302,Na Kaeo,5203,Ko kha,52,Lampang,18.031,99.301
4,470808,Si Wichai,4708,Wanon Niwat,47,Sakon Nakhon,17.536,103.680
4,500606,Sop Poeng,5006,Mae Taeng,50,Chiang Mai,19.104,98.810
4,901005,Thung Mo,9010,Sadao,90,Songkhla,6.745,100.378
4,960804,Lo Chut,9608,Waeng,96,Narathiwat,5.831,101.834
4,481101,Na Thom,4811,Na Thom,48,Nakhon Phanom,17.845,104.037
4,471802,Luplao,4718,Phu Phan,47,Sakon Nakhon,16.881,104.022
4,501510,Ban Pong,5015,Hang Dong,50,Chiang Mai,18.769,98.868
4,570302,Sathan,5703,Chiang Khong,57,Chiang Rai,20.202,100.364
4,570706,Tha Khao Plueak,5707,Mae Chan,57,Chiang Rai,20.163,100.018
4,720703,Bang Ta Then,7207,Song Phi Nong,72,Suphan Buri,14.199,100.174
4,302204,Nong Hua Raet,3022,Nong Bunmak,30,Nakhon Ratchasima,14.715,102.332
4,550407,Namtok,5504,Na Noi,55,Nan,18.394,100.629
4,670504,Khok Prong,6705,Wichian Buri,67,Phetchabun,15.814,101.227
4,580605,Pa Pong,5806,Sop Moei,58,Mae Hong Son,18.113,98.166
4,670203,Tha Kham,6702,Chon Daen,67,Phetchabun,16.204,100.792
4,600908,Phaisali,6009,Phaisali,60,Nakhon Sawan,15.637,100.700
4,670115,Huai Sakae,6701,Mueang Phetchabun,67,Phetchabun,16.191,101.067
4,650301,Pa Daeng,6503,Chat Trakan,65,Phitsanulok,17.285,100.561
4,470202,Na Pho,4702,Kusuman,47,Sakon Nakhon,17.352,104.287
4,320704,Don Raet,3207,Rattanaburi,32,Surin,15.369,104.014
4,360805,Sok Pla Duk,3608,Nong Bua Rawe,36,Chaiyaphum,15.718,101.695
4,650306,Tha Sakae,6503,Chat Trakan,65,Phitsanulok,17.241,100.711
4,570104,Nang Lae,5701,Mueang Chiang Rai,57,Chiang Rai,20.048,99.876
4,720306,Nikhom Krasiao,7203,Dan Chang,72,Suphan Buri,14.844,99.548
4,480105,Kurukhu,4801,Mueang Nakhon Phanom,48,Nakhon Phanom,17.338,104.545
4,920407,Ban Na,9204,Palian,92,Trang,7.302,99.699
4,360402,Ban Han,3604,Kaset Sombun,36,Chaiyaphum,16.307,102.027
4,210701,Nam Pen,2107,Khao Chamao,21,Rayong,12.901,101.749
4,621102,Phet Chomphu,6211,Kosamphi Nakhon,62,Kamphaeng Phet,16.580,99.361
4,210703,Cham Noi,2107,Khao Chamao,21,Rayong,12.933,101.641
4,841712,Maluan,8417,Phunphin,84,Surat Thani,9.166,99.106
4,900801,Koyai,9008,Krasae Sin,90,Songkhla,7.540,100.323
4,860708,Wisai Tai,8607,Sawi,86,Chumphon,10.360,99.040
4,571503,Mae Salong Nok,5715,Mae Fa Luang,57,Chiang Rai,20.141,99.654
4,421101,Phu Ho,4211,Phu Luang,42,Loei,17.135,101.629
4,420605,Lao Ko Hok,4206,Na Haeo,42,Loei,17.485,100.864
4,240601,Ko Khanun,2406,Phanom Sarakham,24,Chachoengsao,13.695,101.399
4,191101,Muak Lek,1911,Muak Lek,19,Saraburi,14.705,101.151
4,160208,Huai Khun Ram,1602,Phatthana Nikhom,16,Lop Buri,14.951,101.205
