TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
Ban Chiang,3614,Phakdi Chumphon,36,Chaiyaphum,16.131,101.375
Wang Nam Lat,6009,Phaisali,60,Nakhon Sawan,15.709,100.666
Tha Li,4208,Tha Li,42,Loei,17.573,101.412
Mae Khatuan,5806,Sop Moei,58,Mae Hong Son,18.003,97.981
Nong Mae Na,6711,Khao kho,67,Phetchabun,16.578,100.898
Pak Chong,3021,Pak Chong,30,Nakhon Ratchasima,14.722,101.363
,4026,Wiang Kao,40,Khon Kaen,16.742,102.259
Yang Sao,6705,Wichian Buri,67,Phetchabun,15.755,101.216
Wang San,6013,Mae Wong,60,Nakhon Sawan,15.859,99.644
Khan Thuli,8407,Tha Chana,84,Surat Thani,9.661,99.088
Khlong Krachang,6706,Si Thep,67,Phetchabun,15.37,101.164
บ้านจันทร์,5025,Kanlayaniwatthana,50,Chiang Mai,19.11,98.281
Khok Tum,1601,Mueang Lop Buri,16,Lop Buri,14.866,100.817
Na Than,4610,Kham Muang,46,Kalasin,17.024,103.613
Mae Sap,5008,Samoeng,50,Chiang Mai,18.945,98.641
Nam Khaem,4208,Tha Li,42,Loei,17.676,101.527
Tha Cha Muang,9009,Rattaphum,90,Songkhla,7.132,100.106
Phru Din Na,8104,Khlong Thom,81,Krabi,8.06,99.219
Chok Chai,5718,Doi Luang,57,Chiang Rai,20.134,100.193
Wang Chan,6303,Sam Ngao,63,Tak,17.275,99.147
Makluea Kao,3018,Sung Noen,30,Nakhon Ratchasima,14.779,101.805
Thung Mahacharoen,2704,Wang Nam Yen,27,Sa kaeo,13.482,102.009
Khao Hin Son,2406,Phanom Sarakham,24,Chachoengsao,13.75,101.494
Huai Phichai,4204,Pak Chom,42,Loei,18.017,101.971
La-Un Nuea,8502,La-un,85,Ranong,10.027,98.806
Tanot,9304,Tamot,93,Phatthalung,7.278,100.007
Thung Nui,9103,Khuan Kalong,91,Satun,6.871,100.144
Na Duang,4202,Na Duang,42,Loei,17.5,102.043
Mae Mo,5202,Mae Mo,52,Lampang,18.297,99.668
Pang Sawan,6015,Chum Ta Bong,60,Nakhon Sawan,15.688,99.56
Khlong Khian,8204,Takua Thung,82,Phang-nga,8.179,98.455
Prik,9010,Sadao,90,Songkhla,6.694,100.473
Mae Tan,6305,Tha Song Yang,63,Tak,17.268,98.275
Song Phi Nong,7608,Kaeng Krachan,76,Phetchaburi,12.853,99.614
I Na Lai,5507,Wiang Sa,55,Nan,18.514,100.541
Na Mala,4206,Na Haeo,42,Loei,17.336,101.071
Pha Thong,5506,Tha Wang Pha,55,Nan,19.235,100.684
Pa Tueng,5707,Mae Chan,57,Chiang Rai,20.134,99.77
Sap Si Thong,3601,Mueang Chaiyaphum,36,Chaiyaphum,16.137,102.017
Thep Nakhon,6201,Mueang Kamphaeng Phet,62,Kamphaeng Phet,16.427,99.611
Tha Uthae,8402,Kanchanadit,84,Surat Thani,9.113,99.639
Nong Sarai,3021,Pak Chong,30,Nakhon Ratchasima,14.689,101.488
Khok Salung,1602,Phatthana Nikhom,16,Lop Buri,15.01,100.969
Huai Khamin,7203,Dan Chang,72,Suphan Buri,14.922,99.534
Na Bot,6309,Wang Chao,63,Tak,16.705,99.156
Hua Suea,5210,Mae Tha,52,Lampang,18.173,99.696
Khreng,8007,Cha-uat,80,Nakhon Si Thammarat,7.952,100.103
Bo Suphan,7207,Song Phi Nong,72,Suphan Buri,14.13,99.849
Huai Kon,5515,Chaloem Phra Kiet,55,Nan,19.559,101.046
Ban Rai,6106,Ban Rai,61,Uthai Thani,15.05,99.464
Chum Kho,8603,Pathio,86,Chumphon,10.767,99.336
Na Khum,5306,Ban Khok,53,Uttaradit,17.951,100.998
Soem Klang,5204,Soem Ngam,52,Lampang,18.132,99.087
Song Phi Nong,8602,Tha Sae,86,Chumphon,10.949,99.189
Khao Mai Kaeo,2502,Kabin Buri,25,Prachin Buri,13.801,101.775
Mae Lan,5104,Li,51,Lamphun,17.761,98.809
Ban Rai,3609,Thep Sathit,36,Chaiyaphum,15.595,101.456
Kham Pa Lai,4901,Mueang Mukdahan,49,Mukdahan,16.711,104.621
Non Thong,3604,Kaset Sombun,36,Chaiyaphum,16.379,101.797
Chai Kasem,7704,Bang Saphan,77,Prachuap Khiri Khan,11.375,99.473
Tat Kloi,6704,Lom Kao,67,Phetchabun,16.998,101.402
Pong Ta Long,3021,Pak Chong,30,Nakhon Ratchasima,14.472,101.605
Pa Ngio,5711,Wiang Pa Pao,57,Chiang Rai,19.252,99.441
Huai Rai,5405,Den Chai,54,Phrae,17.898,100.09
Nong Pling,7110,Lao Khwan,71,Kanchanaburi,14.715,99.743
Khao Thong,8101,Mueang Krabi,81,Krabi,8.157,98.76
Den Lek,5304,Nam Pat,53,Uttaradit,17.82,100.788
Sang Kho,4718,Phu Phan,47,Sakon Nakhon,16.883,103.918
Na Bo Kham,6201,Mueang Kamphaeng Phet,62,Kamphaeng Phet,16.458,99.321
Nong Thong,9308,Pa Bon,93,Phatthalung,7.162,100.008
Ban Dan Na Kham,5301,Mueang Uttaradit,53,Uttaradit,17.784,100.161
Huai Sak,5701,Mueang Chiang Rai,57,Chiang Rai,19.756,99.872
Ngim,5606,Pong,56,Phayao,19.284,100.403
Chaiyarat,7705,Bang Saphan Noi,77,Prachuap Khiri Khan,11.012,99.256
Phaya Yen,3021,Pak Chong,30,Nakhon Ratchasima,14.548,101.246
Pa Daeng,5401,Mueang Phrae,54,Phrae,18.063,100.316
Ban Puang,5105,Thung Hua Chang,51,Lamphun,17.87,99.089
Na Bua,6502,Nakhon Thai,65,Phitsanulok,17.203,100.851
Mae Ki,5802,Khun Yuam,58,Mae Hong Son,18.673,97.827
Sai Khao,8104,Khlong Thom,81,Krabi,7.711,99.241
Ban Ueam,5201,Mueang Lampang,52,Lampang,18.478,99.357
Nakhon Chum,6502,Nakhon Thai,65,Phitsanulok,17.26,100.806
Ong Phra,7203,Dan Chang,72,Suphan Buri,14.8,99.386
Pa Wai,7003,Suan Phueng,70,Ratchaburi,13.578,99.423
Chang Klang,8022,Chang Klang,80,Nakhon Si Thammarat,8.336,99.638
Thoet Thai,5715,Mae Fa Luang,57,Chiang Rai,20.306,99.603
Kham Duang,4117,Ban Phue,41,Udon Thani,17.872,102.346
Wang Katha,3021,Pak Chong,30,Nakhon Ratchasima,14.536,101.64
Nong Pradu,7110,Lao Khwan,71,Kanchanaburi,14.456,99.738
